

//
// Armor techs
// 
ARMOR_0_NAME     | Armatura di titanio
SOILENRICH_1_DETAIL   | Converte i pianeti standard e fertili in Gaia, raddoppiando la crescita della popolazione e aumentando la dimensione di base del pianeta del +50% per un costo una tantum di 300 BC.


//
// Stargate tech
//
STARGATE_0_NAME      | Cancelli Stellari Intergalattici
STARGATE_0_DETAIL    | Consente alle tue navi di spostarsi tra due pianeti qualsiasi dotati di portali stellari in un solo turno. Costo 3000 BC per costruire.


//
// Stasis Field tech
//
STASIS_0_NAME      | Campo di Stasi
STASIS_0_BRIEF     | Nemico congelato per 1 turno
STASIS_0_DETAIL    | Blocca un gruppo di navi nemiche, fino a uno spazio di distanza, per un turno. Le navi bloccate non possono attaccare o essere attaccate.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Proiettore a Flusso Ionico
STREAMWPN_0_BRIEF   | Riduce l'armatura nemica del 20%
STREAMWPN_0_DETAIL  | Spara un'intensa esplosione ionica, riducendo l'armatura di ogni bersaglio nel gruppo avversario del 20% più l'1% per ogni 2 navi che sparano, fino a un massimo del 50% dei suoi punti ferita iniziali per attacco.

STREAMWPN_1_NAME    | Proiettore a Flusso di Neutroni
STREAMWPN_1_BRIEF   | Riduce l'armatura nemica del 40%
STREAMWPN_1_DETAIL  | Spara un'esplosione di neutrini concentrati, riducendo l'armatura di ogni bersaglio nel gruppo avversario del 40% più 1% per nave che spara, fino a un massimo del 75% dei suoi punti ferita per attacco.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Interdittore Subspaziale
SUBSPACEINT_0_DETAIL  | Impedisce l'uso di teletrasporti subspaziali nemici e trasportatori da combattimento. Il dispositivo viene aggiunto automaticamente alle basi missilistiche.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Teletrasporto Subspaziale
SUBSPACETEL_0_BRIEF   | Teletrasporta la nave in combattimento
SUBSPACETEL_0_DETAIL  | Teletrasporta le navi in qualsiasi spazio sulla mappa di combattimento e prima di determinare normalmente l'iniziativa di combattimento.


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Siluri ad Antimateria
TORPEDO_0_BRIEF       | Spara uno ogni 2 turni
TORPEDO_0_DETAIL      | Siluri traccianti ad alta energia che infliggono 30 punti di danno ma possono essere lanciati solo a turni alterni. Ogni siluro è dotato di un computer di puntamento di livello +4.

TORPEDO_1_NAME        | Siluri di Fuoco Infernale
TORPEDO_1_BRIEF       | Colpisce tutti e quattro gli scudi
TORPEDO_1_DETAIL      | Siluri energetici avvolgenti che colpiscono contemporaneamente tutti gli scudi. Si muovono alla velocità 5, sono guidati da un computer di puntamento di livello +6, infliggendo danni pari a quattro attacchi da 25 punti.

TORPEDO_2_NAME        | Siluri Protonici
TORPEDO_2_BRIEF       | Spara uno ogni 2 turni
TORPEDO_2_DETAIL      | Siluri energetici ad alto rendimento che infliggono 75 punti di danno ma possono essere lanciati solo a turni alterni. Ogni siluro è dotato di un computer di puntamento di livello +6.

TORPEDO_3_NAME        | Siluri al Plasma
TORPEDO_3_BRIEF       | Perde 15 danni
TORPEDO_3_DETAIL      | Siluri a energia pura che infliggono 150 punti di danno e si muovono a velocità 6, ma perdono 15 danni per spazio percorso. Il lanciatore spara ogni due turni e ha un computer di guida +7.
