

//
// Armor techs
// 
ARMOR_0_NAME     | Armadura de Titânio
SHIPWPN_15_DETAIL      | Dispara raios intensos de energia capazes de inflingir 6-30 pontos de dano com um alcance de uma quadrícula.

SHIPWPN_16_NAME        | Raio da Morte
SHIPWPN_16_DETAIL      | Uma arma ancestral de poder desmesurado capaz de inflingir 200-1000 pontos de dano e com um alcance de uma quadrícula.

SHIPWPN_17_NAME        | Disruptor
SHIPWPN_17_DETAIL      | Desencadeia raios tremendos de energia pura que atingem os alvos inimigos até duas quadrículas de distância, com 10-40 pontos de dano.

SHIPWPN_18_NAME        | Phaser de Pulsões
SHIPWPN_18_BRIEF       | Dispara 3 vezes/turno
SHIPWPN_18_DETAIL      | Uma arma phaser avançada capaz de 3 disparos por turno com 5-20 pontos de dano cada.

SHIPWPN_19_NAME        | Canhão de Plasma de Tripla Frente
SHIPWPN_19_DETAIL      | Dispara uma tríade de raios de plasma de alta intensidade capaz de inflingir 20 a 50 pontos de dano.

SHIPWPN_20_NAME        | Conversor Estelar
SHIPWPN_20_BRIEF       | Atinge os Quatro Escudos
SHIPWPN_20_DETAIL      | Envolve o alvo com um campo poderoso de matéria convertida em energia, desferindo quatro ataques de 10 a 35 pontos. Possui um alcance de 3 espaços.

SHIPWPN_21_NAME        | O Arrasador
SHIPWPN_21_DETAIL      | Liberta quantidades massivas de energia concentrada sobre os alvos inimigos, inflingindo 20-100 pontos de dano.

SHIPWPN_22_NAME        | O Feixe da Amoeba
SHIPWPN_22_DETAIL      | Um feixe que provoca 250-1000 pontos de dano com um alcance de 3 quadrículas. O efeito de corrente contínua faz com que o excesso de dano passe para as outras naves.

SHIPWPN_23_NAME        | O Raio do Cristal
SHIPWPN_23_DETAIL      | Um laser que cerca os escudos do alvo, submetendo-o a 4 ataques de 100-300 pontos de dano cada. Possui um alcance de 3 quadrículas.


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Enriquecimento do Solo
SOILENRICH_0_DETAIL   | Por 150 BM, converte planetas normais em férteis, aumentando o crescimento populacional em +50% e o tamanho das bases planetárias em +25%.

SOILENRICH_1_NAME     | Enriquecimento do Solo Avançado
SOILENRICH_1_DETAIL   | Por 300 BM, converte planetas normais e férteis em gaias, dobrando o crescimento populacional e aumentando o tamanho das bases planetárias em +50%.


//
// Stargate tech
//
STARGATE_0_NAME      | Portais Interestelares
STARGATE_0_DETAIL    | Permite às tuas naves moverem-se, numa só ronda, entre quaisquer dois planetas que tenham um portal. O custo de construção são 3000 BM.


//
// Stasis Field tech
//
STASIS_0_NAME      | Campo de Estase
STASIS_0_BRIEF     | Congela o inimigo por um turno
STASIS_0_DETAIL    | Congela um grupo de naves inimigas situadas até uma quadrícula de distância, durante um turno. As naves congeladas não podem atacar ou ser atacadas.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Lançador de Iões
STREAMWPN_0_BRIEF   | Reduz a eficácia da armadura do inimigo em 20%
STREAMWPN_0_DETAIL  | Dispara um feixe intensa de iões, reduzindo a eficácia da armadura de todos os alvos possíveis num grupo adversário em 20%, mais 1% por cada 2 naves no teu grupo, até um máximo de 50% dos Pontos de Vida iniciais do grupo adversário por cada ataque.

STREAMWPN_1_NAME    | Lançador de Neutrões
STREAMWPN_1_BRIEF   | Reduz a eficácia da armadura do inimigo em 40%
STREAMWPN_1_DETAIL  | Dispara um feixe de neutrinos concentrados, reduzindo a eficácia da armadura de todos os alvos possíveis num grupo adversário em 40%, mais 1% por cada nave no teu grupo até um máximo de 75% dos Pontos de Vida iniciais do grupo adversário por cada ataque.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Inibidor do Subespaço
SUBSPACEINT_0_DETAIL  | Impede o uso de teletransportes de subespaço pelo inimigo. Este dispositivo é incorporado automaticamente nas bases de mísseis.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Teletransporte Subespacial
SUBSPACETEL_0_BRIEF   | Teletransporta a nave quando em combate
SUBSPACETEL_0_DETAIL  | Teletransporta as naves para qualquer quadrícula do mapa de combate e antes de se determinar normalmente a ordem de ataque.


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Torpedos de Antimatéria
TORPEDO_0_BRIEF       | Dispara um a cada dois turnos
TORPEDO_0_DETAIL      | Torpedos de elevada concentração energética que provocam 30 pontos de dano, mas só podem ser disparados em turnos alternados. Cada torpedo está equipado com um computador de controlo de disparo que equivale a mais 4 níveis sobre o Nível de Ataque atual.

TORPEDO_1_NAME        | Vendaval de Torpedos
TORPEDO_1_BRIEF       | Atinge os quatro escudos
TORPEDO_1_DETAIL      | Torpedos capazes de envolver o alvo, atingindo todos os escudos em simultâneo. Movem-se a velocidade de 5 quadrículas por turno e são guiados por um computador de controlo de disparo que equivale a mais 6 níveis sobre o Nível de Ataque atual, provocando um dano igual a quatro ataques de 25 pontos.

TORPEDO_2_NAME        | Torpedos de Protões
TORPEDO_2_BRIEF       | Dispara um a cada dois turnos
TORPEDO_2_DETAIL      | Torpedos de energia de alto rendimento que provocam 75 pontos de dano mas que só podem ser disparados com intervalo de um turno de combate. Cada torpedo está equipado com um computador de controlo de disparo que equivale a mais 6 níveis sobre o Nível de Ataque atual.

TORPEDO_3_NAME        | Torpedos de Plasma
TORPEDO_3_BRIEF       | Perde 15 pontos de dano/quadrícula
TORPEDO_3_DETAIL      | Torpedos que energia pura que provocam 150 pontos de  dano e se movem a velocidade de 6 quadrículas por turno, mas perdem 15 pontos da capacidade de dano por quadrícula de espaço viajado. O lançador dispara com intervalo de um turno e possui um computador de controlo que equivale a mais 7 níveis níveis sobre o Nível de Ataque atual.

