

//
// Armor techs
// 
ARMOR_0_NAME     | Titánový pancier

SHIPWPN_22_NAME        | Amébin prúd
SHIPWPN_22_DETAIL      | Prúd, ktorý spôsobuje 250-1000 bodov poškodenia a má dosah 3 polia. Efekt nepretržitého prúdu umožňuje prenášať poškodenie z jednej lode na druhú.

SHIPWPN_23_NAME        | Kryštálový lúč
SHIPWPN_23_DETAIL      | Lúč, ktorý obklopí štíty cieľa a spôsobí 4 útoky, každý s poškodením 100-300 bodov. Má dosah 3 polia.


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Obohatenie pôdy
SOILENRICH_0_DETAIL   | Premení štandardné planéty na úrodné. Za jednorazový  poplatok 150 BC sa rast populácie zvýši o 50% a obývateľný priestor planéty o +25%.

SOILENRICH_1_NAME     | Pokročilé obohatenie pôdy
SOILENRICH_1_DETAIL   | Premení štandardné a úrodné planéty na raj. Za jednorazový  poplatok 300 BC zdvojnásobí rast populácie a zvýši obývateľný priestor planéty o +50%.


//
// Stargate tech
//
STARGATE_0_NAME      | Medzigalaktické hviezdne brány
STARGATE_0_DETAIL    | Umožňuje vašim lodiam pohybovať sa medzi ľubovoľnými dvoma planétami vybavenými hviezdnymi bránami za jeden ťah. Náklady na vybudovanie 3000 BC.


//
// Stasis Field tech
//
STASIS_0_NAME      | Stázové pole
STASIS_0_BRIEF     | Nepriateľ je na 1 ťah zmrazený 
STASIS_0_DETAIL    | Zmrazí jednu skupinu nepriateľských lodí vzdialených maximálne jedno pole na jeden ťah. Zmrazené lode nemôžu útočiť ani byť napadnuté.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Projektor iónového prúdu
STREAMWPN_0_BRIEF   | Znižuje pancier nepriateľa o 20%.
STREAMWPN_0_DETAIL  | Vystrelí intenzívny prúd iontov, ktorý zníži úroveň panciera každej lode v cieľovej skupine o 20-50% zásahových bodov.

STREAMWPN_1_NAME    | Projektor neutrónového prúdu
STREAMWPN_1_BRIEF   | Znižuje pancier nepriateľa o 40%
STREAMWPN_1_DETAIL  | Vystrelí prúd koncentrovaných neutrín, ktorý zníži úroveň panciera každej lode v cieľove skupine o 40-75% zásahových bodov.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Podpriestorová rušička
SUBSPACEINT_0_DETAIL  | Zabraňuje používaniu nepriateľských podpriestorových teleportov a bojových transportérov. Zariadenie sa automaticky inštaluje na raketové základne.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Podpriestorový teleport
SUBSPACETEL_0_BRIEF   | Teleportuje loď v boji
SUBSPACETEL_0_DETAIL  | Teleportuje lode do ľubovoľného priestoru na bojovej mape a pred normálnym určením bojovej iniciatívy.


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Torpéda s antihmotou
TORPEDO_0_BRIEF       | Vystrelí raz za 2 ťahy
TORPEDO_0_DETAIL      | Vysoko výbušné navadzané torpéda, ktoré spôsobujú poškodenie za 30-bodov. Môžu byť vystrelené len každý druhý ťah. Každé torpédo je vybavené zameriavacím počítačom úrovne +4.

TORPEDO_1_NAME        | Torpéda Hellfire
TORPEDO_1_BRIEF       | Zasahuje všetky štyri štíty
TORPEDO_1_DETAIL      | Obalové energetické torpéda, ktoré naraz zasiahnu všetky štíty. Pohybujú sa rýchlosťou 5, sú riadené zameriavacím počítačom úrovne +6 a spôsobujú poškodenie rovnajúce sa štyrom 25-bodovým útokom.

TORPEDO_2_NAME        | Protónové torpéda
TORPEDO_2_BRIEF       | Vystrelí raz za 2 ťahy
TORPEDO_2_DETAIL      | Energetické torpéda s vysokým výkonom, ktoré spôsobujú 75 bodov poškodenia. Môžu byť vystrelené len každý druhý ťah. Každé torpédo je vybavené zameriavacím počítačom úrovne +6.

TORPEDO_3_NAME        | Plazmové torpéda
TORPEDO_3_BRIEF       | Stráca 15 bodov poškodenia/pole
TORPEDO_3_DETAIL      | Torpéda z čistej energie, ktoré spôsobujú poškodenia za 150 bodov. Pohybujú sa rýchlosťou 6, ale strácajú 15 bodov poškodenia za každé prejdené pole. Odpaľovacie zariadenie strieľa každý druhý ťah a má navádzanie úrovne 7.

