

//
// Armor techs
// 
ARMOR_0_NAME     | Titanium Panzerung
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Bodenanreicherung
SOILENRICH_0_DETAIL   | Verbessert Standardplaneten zu fruchtbarer Umgebung, erhöht das Bevölkerungswachstum um 50% und das Bevölkerungsmaximum um 25% für 150 BC.

SOILENRICH_1_NAME     | Fortgeschrittene Bodenanreicherung
SOILENRICH_1_DETAIL   | Verbessert Standard- und Fruchtbare Planeten zu Gaia. verdoppelt das Bevölkerungswachstum und erhöht das Bevölkerungsmaximum um 50% für 300 BC.


//
// Stargate tech
//
STARGATE_0_NAME      | Intergalactisches Sternentor
STARGATE_0_DETAIL    | Erlaubt Schiffen sich zwischen zwei Planeten mit Sternentor in einem Zug zu bewegen. Kosten liegen bei 3000 BC.


//
// Stasis Field tech
//
STASIS_0_NAME      | Stasisfeld
STASIS_0_BRIEF     | Gegner einfrieren für 1 Zug
STASIS_0_DETAIL    | Friert eine Gruppe gegnerischer Schiffe bis zu einem Feld Abstand für einen Zug ein. Diese Schiffe können nicht angegriffen werden.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Ion Flux Projektor
STREAMWPN_0_BRIEF   | Reduziert feindliche Panzerung um 20%
STREAMWPN_0_DETAIL  | Feuert einen starken Ionenstoß, der die Panzerung in der Gegnergruppe um 20% plus 1% pro 2 feuernde Schiffe bis zu einem Maximum von 50% der Anfangstrefferpunkte pro Attacke.

STREAMWPN_1_NAME    | Neutrino Flux Projektor
STREAMWPN_1_BRIEF   | Reduziert feindliche Panzerung um 40%
STREAMWPN_1_DETAIL  | Feuert einen konzentrierten Neutrinostrahl, der die Panzerung in der Gegnergruppe um 40% plus 1% pro 2 feuernde Schiffe bis zu einem Maximum von 75% der Anfangstrefferpunkte pro Attacke.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Subraumauflöser
SUBSPACEINT_0_DETAIL  | erhindert den Einsatz von gegnerischen Subraumteleportern und Kampftransportern. Die Vorrichtung wird automatisch den Raketenbasen hinzugefügt.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Subraumtransporter
SUBSPACETEL_0_BRIEF   | Teleportiert Schiffe im Kampf
SUBSPACETEL_0_DETAIL  | Teleportiert Schiffe zu jedem Punkt der Kampfkarte vor der Bestimmung der Initiative. 


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Anti-Materie Torpedos
TORPEDO_0_BRIEF       | Kann jeden zweiten Zug feuern
TORPEDO_0_DETAIL      | Hochenergietorpedos, die 30 Schadenspunkte verursachen, aber nur jeden zweiten Zug abgefeuert werden können.Jeder Torpedo ist mit einem +4 Level Zielcomputer ausgestattet.

TORPEDO_1_NAME        | Hellfire Torpedoes
TORPEDO_1_BRIEF       | Trifft alle vier Schilde
TORPEDO_1_DETAIL      | Einhüllender Energietorpedo der alle Schilde gleichzeitig trifft. Sie haben eine Geschwindigkeit von 5, einen +6 Level Zielcomputer und verursachen Schaden wie vier 25-Punkte Attacken.

TORPEDO_2_NAME        | Proton Torpedoes
TORPEDO_2_BRIEF       | Kann jeden zweiten Zug feuern
TORPEDO_2_DETAIL      | Überladener Energietorpedo, der 75 Schadenspunkte verursacht, aber nur jeden 2. Zug abgefeuert werden kann. Jeder Torpedo ist mit einem +6 Level Zielcomputer ausgestattet.

TORPEDO_3_NAME        | Plasma Torpedoes
TORPEDO_3_BRIEF       | Verliert 15 Schadenspunkte/hex
TORPEDO_3_DETAIL      | Reiner Energietorpedo, der 150 Schadenspunkte verursacht und eine Geschwindigkeit von 6 erreicht. Verliert 15 Schadenspunkte pro zurückgelegtem Feld. Jeder Torpedo ist mit einem +7 Level Zielcomputer ausgestattet und feuert jeden 2. Zug.

