

//
// Armor techs
// 
ARMOR_0_NAME     | Baju Logam Titanium
SHIPWPN_13_BRIEF       | 1/2 Perisai, Menembak 4x
SHIPWPN_13_DETAIL      | Akselerator linear canggih yang mampu menembakkan 4 putaran eksplosif per putaran yang menimbulkan 7 sampai 10 poin kerusakan setiap kalinya. Putaran proyektil ini juga membelah efektivitas perisai musuh.

SHIPWPN_14_NAME        | Sinar Partikel
SHIPWPN_14_BRIEF       | Membelah Kekuatan Perisai
SHIPWPN_14_DETAIL      | Akselerator partikel intensitas tinggi yang mampu memukul kapal musuh untuk 10-20 poin kerusakan dan membelah efektivitas perisai deflektor.

SHIPWPN_15_NAME        | Meriam Plasma
SHIPWPN_15_DETAIL      | Menembakkan anak panah energi intens yang menimbulkan 6-30 poin kerusakan pada jangkauan 1.

SHIPWPN_16_NAME        | Sinar Kematian
SHIPWPN_16_DETAIL      | Senjata kuno yang memiliki kekuatan destruktif yang sulit dipercaya yang menimbulkan 200-1000 poin kerusakan dan memiliki satu jangkauan ruang.

SHIPWPN_17_NAME        | Disruptor
SHIPWPN_17_DETAIL      | Melepas banyak anak panak berenergi murni yang dapat memukul target musuh hingga sejauh dua ruang untuk 10-40 poin kerusakan.

SHIPWPN_18_NAME        | Pulse Phasor
SHIPWPN_18_BRIEF       | Menembak 3 kali/putaran
SHIPWPN_18_DETAIL      | Phasor canggih yang mampu menembakkan 3 semburan per putaran untuk 5-20 poin kerusakan dengan setiap pukulan.

SHIPWPN_19_NAME        | Meriam Plasma Tiga Fokus
SHIPWPN_19_DETAIL      | Menembakkan trio sinar plasma intensitas tinggi yang mampu menimbulkan 20 sampai 50 poin kerusakan.

SHIPWPN_20_NAME        | Stellar Convertor
SHIPWPN_20_BRIEF       | Memukul keempat perisai semua
SHIPWPN_20_DETAIL      | Mengelilingi target dengan bidang konversi materi-energi yang sangat kuat, menimbulkan empat kali 10-35 poin serangan. Memiliki jangkauan 3 ruang.

SHIPWPN_21_NAME        | Alat Mauler
SHIPWPN_21_DETAIL      | Melepas banyak energi terfokus pada target musuh, menimbulkan 20-100 poin kerusakan.

SHIPWPN_22_NAME        | Arus Amoeba
SHIPWPN_22_DETAIL      | Arus yang membuat 250-1000 poin kerusakan dan memiliki jangkauan 3 ruang. Efek arus berkelanjutannya memungkinkannya untuk meneruskan kerusakan dari satu kapal ke yang lain.

SHIPWPN_23_NAME        | Sinar Kristal
SHIPWPN_23_DETAIL      | Sinar yang mengelilingi perisai target, memberikan 4 serangan untuk 100-300 poin kerusakan di setiap serangannya. Memiliki jangkauan 3 ruang.


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Penyubur Tanah
SOILENRICH_0_DETAIL   | Mengubah Planet Standar menjadi lingkungan yang subur, meningkatkan pertumbuhan populasi hingga 50% dan meningkatkan ukuran dasar planet sebanyak +25% untuk biaya sekali bayar 150 BC.

SOILENRICH_1_NAME     | Penyubur Tanah Canggih
SOILENRICH_1_DETAIL   | Mengubah planet standar dan subur menjadi gaia, menggandakan pertumbuhan populasi dan meningkatkan ukuran dasar planet sebanyak +50% untuk biaya sekali bayar 300 BC.


//
// Stargate tech
//
STARGATE_0_NAME      | Gerbang Bintang Antargalaksi
STARGATE_0_DETAIL    | Memungkinkan kapalmu untuk berjalan di antara dua planet yang dilengkapi dengan gerbang bintang hanya dalam satu putaran. Biaya 3000 BC untuk pembangunannya.


//
// Stasis Field tech
//
STASIS_0_NAME      | Bidang Stasis
STASIS_0_BRIEF     | Musuh membeku untuk 1 putaran
STASIS_0_DETAIL    | Membekukan satu grup kapal musuh, sampai sejauh satu ruang, untuk satu putaran. Kapal yang membeku tidak bisa menyerang atau diserang.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Proyektor Arus Ion
STREAMWPN_0_BRIEF   | Mengurangi baju logam musuh hingga 20%
STREAMWPN_0_DETAIL  | Menembakkan ledakan ion intens, mengurangi baju logam setiap target pada grup lawan sebanyak 20% plus 1% per 2 kapal penembak, sampai sejumlah maksimum 50% dari poin pukulan awal per serangan.

STREAMWPN_1_NAME    | Proyektor Arus Neutron
STREAMWPN_1_BRIEF   | Mengurangi baju logam musuh hingga 40%
STREAMWPN_1_DETAIL  | Menembakkan ledakan nutrino terkonsentrasi, mengurangi baju logam setiap target pada grup lawan sebanyak 40% plus 1% per kapal penembak, sampai sejumlah maksimum 75% dari poin pukulannya per serangan.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Pengganggu Sub-ruang angkasa
SUBSPACEINT_0_DETAIL  | Mencegah penggunaan teleporter sub-ruang angkasa milik musuh dan melawan transporter. Alat ini ditambahkan secara otomatis pada basis misil.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Teleporter Sub-ruang angkasa
SUBSPACETEL_0_BRIEF   | Teleportasi kapal dalam pertempuran
SUBSPACETEL_0_DETAIL  | Teleportasi kapal ke ruang manapun dalam peta pertempuran dan sebelum menentukan awal pertempuran secara normal.


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Torpedo Anti-Materi
TORPEDO_0_BRIEF       | Menembak satu per 2 putaran
TORPEDO_0_DETAIL      | Torpedo pelacak energi tinggi yang memberikan 30 poin kerusakan tapi hanya bisa ditembakkan setiap 2 putaran. Setiap torpedo dilengkapi dengan komputer penarget level +4.

TORPEDO_1_NAME        | Torpedo Api Neraka
TORPEDO_1_BRIEF       | Memukul keempat perisai semuanya
TORPEDO_1_DETAIL      | Torpedo pembungkus energi yang secara simultan menyerang semua perisai. Torpedo ini bergerak pada kecepatan 5, dipandu oleh komputer penarget level +6, memberikan kerusakan setara dengan empat kali 25-poin serangan.

TORPEDO_2_NAME        | Torpedo Proton
TORPEDO_2_BRIEF       | Menembak satu per 2 putaran
TORPEDO_2_DETAIL      | Torpedo penghasil energi tinggi yang memberikan 75 poin kerusakan tetapi hanya bisa ditembakkan setiap 2 putaran. Setiap torpedo dilengkapi dengan komputer penarget level +6.

TORPEDO_3_NAME        | Torpedo Plasma
TORPEDO_3_BRIEF       | Mengurangi 15 kerusakan/hex
TORPEDO_3_DETAIL      | Torpedo energi murni yang memberikan 150 poin kerusakan dan bergerak pada kecepatan 6, tetapi dapat menghilangkan 15 kerusakan per ruang yang dijalani. Tembakan diluncurkan setiap dua putaran dan memiliki komputer pemandu +7.

