

//
// Armor techs
// 
ARMOR_0_NAME     | Titanijum Oklop
SHIPWPN_22_DETAIL      | Tok koji nanosi 250-1000 poena oštećenja i ima domet od 3 kvadrata. Njegov kontinuirani efekat strujanja omogućava mu da prenosi štetu sa jednog broda na drugi.

SHIPWPN_23_NAME        | Snop Kristala
SHIPWPN_23_DETAIL      | Snop koji okružuje štitove mete, isporučujući 4 napada sa po 100-300 poena oštećenja. Ima domet od 3 kvadrata.


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Obogaćivanje Zemljišta
SOILENRICH_0_DETAIL   | Pretvara standardne planete u plodno okruženje, povećavajući rast stanovništva za 50% i povećavajući baznu planetarnu veličinu za +25% po jednokratnim troškovima od 150 MK.

SOILENRICH_1_NAME     | Napredno Obogaćivanje Zemljišta
SOILENRICH_1_DETAIL   | Pretvara standardne i plodne planete u rajske, udvostručujući rast stanovništva i povećavajući baznu veličinu planete za +50% po jednokratnim troškovima od 300 MK.


//
// Stargate tech
//
STARGATE_0_NAME      | Intergalaktičke Zvezdane Kapije
STARGATE_0_DETAIL    | Omogućava vašim brodovima da se kreću između bilo koje dve planete opremljene Zvezdanim Kapijama u samo jednom potezu. Izgradnja košta 3000 MK.


//
// Stasis Field tech
//
STASIS_0_NAME      | Polje Zastoja
STASIS_0_BRIEF     | Neprijatelj zamrznut na 1 potez
STASIS_0_DETAIL    | Zamrzava jednu grupu neprijateljskih brodova, udaljenu do jednog mesta, na jedan potez. Smrznuti brodovi ne mogu napasti niti biti napadnuti.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Projektor Jonskog Snopa
STREAMWPN_0_BRIEF   | Smanjuje neprijateljski oklop za 20%
STREAMWPN_0_DETAIL  | Ispušta snažnu jonsku eksploziju, smanjujući oklop svake mete u protivničkoj grupi za 20% plus 1% na 2 broda koji ispaljuju snop, smanjujući maksimalno do 50% od početnih poena trupa.

STREAMWPN_1_NAME    | Projektor Neutronskog Snopa
STREAMWPN_1_BRIEF   | Smanjuje neprijateljski oklop za 40%
STREAMWPN_1_DETAIL  | Ispaljuje snop koncentrisanih neutrina, smanjujući oklop svake mete u protivničkoj grupi za 40% plus 1% po brodu koji ispaljuje snop, smanjujući maksimalno do 75% od početnih poena trupa.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Pod-Prostorni Ometač
SUBSPACEINT_0_DETAIL  | Sprečava upotrebu neprijateljskih Pod-Prostornih Teleporta i borbenih transportera. Uređaj se automatski ugrađuje u raketne baze.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Pod-Prostorni Teleport
SUBSPACETEL_0_BRIEF   | Teleportuje brodove u borbi
SUBSPACETEL_0_DETAIL  | Teleportuje brode u bilo koje mesto na borbenoj mapi i pre nego što se aktivira inicijativa drugih brodova.


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Anti-Materijski Torpedo
TORPEDO_0_BRIEF       | Ispaljuje jednom u 2 poteza
TORPEDO_0_DETAIL      | Visoko energetska prateća Torpeda koja nanose 30 poena štete, ali se mogu ispaliti samo pri svakom drugom potezu. Svaki torpedo je opremljen +4 nivoa računarom za ciljanje.

TORPEDO_1_NAME        | Pakleni Torpedo
TORPEDO_1_BRIEF       | Pogađa sva četiri štita
TORPEDO_1_DETAIL      | Obmotavajuća energetska torpeda koja istovremeno pogađaju sve štitove. Kreću se brzinom 5, navode se +6 nivoa računarom za ciljanje, nanoseći štetu jednaku četiri napada od 25 poena.

TORPEDO_2_NAME        | Protonski Torpedo
TORPEDO_2_BRIEF       | Ispaljuje jednom u 2 poteza
TORPEDO_2_DETAIL      | Energetska razarajuća torpeda koja nanose 75 poena štete, ali se mogu ispaliti samo pri svakom drugom potezu. Svaki torpedo je opremljen +6 nivoa računarom za ciljanje.

TORPEDO_3_NAME        | Plazma Torpedo
TORPEDO_3_BRIEF       | Gubi 15 štete/heks
TORPEDO_3_DETAIL      | Torpeda čiste energije koja nanose 150 poena štete i kreću se brzinom 6, ali gube 15 štete po proputovanom kvadratu prostora. Lanser ispaljuje svakog drugog poteza i ima +7 računar za navođenje.

