//
// Armor techs
// 
ARMOR_0_NAME     | Pancerz z Tytanu
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Wzbogacanie Gleby
SOILENRICH_0_DETAIL   | Konwertuje standardowe planety w środowiska żyzne, zwiększając wzrost populacji o 50% oraz bazowy rozmiar planety o 25%, jednorazowym kosztem 150 BC.

SOILENRICH_1_NAME     | Zaawansowane Wzbogacanie Gleby
SOILENRICH_1_DETAIL   | Konwertuje standardowe planety w środowiska typu gaia, dwukrotnie zwiększając wzrost populacji oraz bazowy rozmiar planety o 50%, jednorazowym kosztem 300 BC.



//
// Stargate tech
//
STARGATE_0_NAME      | Międzygalaktyczne Gwiezdne Wrota
STARGATE_0_DETAIL    | Pozwala twoim statkom poruszać się pomiędzy dowolnymi planetami wyposażonymi w gwiezdne wrota w czasie 1 rundy. Koszt budowy to 3000 BC.


//
// Stasis Field tech
//
STASIS_0_NAME      | Pole Bezruchu
STASIS_0_BRIEF     | Wstrzymanie wroga na 1 rundę
STASIS_0_DETAIL    | Wstrzymuje 1 grupę wrogich statków, w odległości do 1 pola, na 1 rundę. Wstrzymane statki nie mogą atakować ani zostać zaatakowane.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Projektor Strumieni Jonowych
STREAMWPN_0_BRIEF   | Redukuje pancerz wroga o 20%
STREAMWPN_0_DETAIL  | Emituje intensywną wiązkę jonową, redukując pancerz statków wrogiej grupy o 20% plus 1% na każde 2 strzelające statki, maksymalnie do 50% pkt żywotności każdego celu na atak.

STREAMWPN_1_NAME    | Projektor Strumieni Neutronowych
STREAMWPN_1_BRIEF   | Redukuje pancerz wroga o 40%
STREAMWPN_1_DETAIL  | Emituje skoncentrowaną wiązkę neutronów, redukując pancerz statków wrogiej grupy o 40% plus 1% na każdy strzelający statek, maksymalnie do 75% pkt żywotności każdego celu na atak.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Interdyktor Podprzestrzenny
SUBSPACEINT_0_DETAIL  | Uniemożliwia wrogowi użycie teleporterów podprzestrzennych i transporterów bitewnych. Urządzenie to jest automatycznie instalowane w bazach rakietowych.



//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Teleporter Podprzestrzenny
SUBSPACETEL_0_BRIEF   | Teleportuje statki podczas bitwy
SUBSPACETEL_0_DETAIL  | Teleportuje statek na dowolne pole podczas bitwy, przed określeniem inicjatywy bitewnej w zwykły sposób.


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Torpeda Przeciwmateryjna
TORPEDO_0_BRIEF       | Wystrzał jednej co 2 rundy
TORPEDO_0_DETAIL      | Wysokoenergetyczna torpeda zadająca 30 pkt obrażeń lecz odpalana jedynie co drugą rundę. Każda wyposażona jest w komputer celowniczy +4.

TORPEDO_1_NAME        | Torpeda Piekielna
TORPEDO_1_BRIEF       | Trafia wszystkie 4 tarcze
TORPEDO_1_DETAIL      | Torpeda energetyczna, która uderza we wszystkie tarcze jednocześnie. Porusza się z prędkością 5, posiada komputer celowniczy +6 i wywołuje zniszczenia równe czterem atakom po 25 pkt.

TORPEDO_2_NAME        | Torpeda Protonowa
TORPEDO_2_BRIEF       | Wystrzał jednej co 2 rundy
TORPEDO_2_DETAIL      | Zaawansowana, wysokoenergetyczna torpeda zadająca 75 pkt obrażeń lecz odpalana jedynie co drugą rundę. Każda wyposażona jest w komputer celowniczy +6.

TORPEDO_3_NAME        | Torpeda Plazmowa
TORPEDO_3_BRIEF       | Utrata 15 pkt obrażeń na hex
TORPEDO_3_DETAIL      | Torpeda z czystej energii zadająca 150 pkt obrażeń i poruszająca się z prędkością 6 lecz tracąca 15 pkt potencjalnych obrażeń na każde przebyte pole. Wyrzutnia odpala je co drugą rundę oraz posiada komputer celowniczy +7.

